row,id,name,distance,notes
2,N1 Cen C,Proxima Centauri,1.301,Gl 559 AB same system; parallaxes NOT combined
3,N1 Cen,Rigil Kentaurus,1.338,Gl 551 same system; parallaxes NOT combined
4,N1 Cen B,Rigil Kentaurus B,1.338,Gl 551 same system; parallaxes NOT combined
5,N1 Oph,Barnard's Star,1.828,
6,N1 Leo,Wolf 359,2.386,
7,N1 UMa,Lalande 21185,2.542,
8,N1 CMa,Sirius,2.631,
9,N1 CMa B,Sirius B,2.631,
10,N1 Cet,Luyten 726-8 A,2.676,
11,N1 Cet B,Luyten 726-8 B,2.676,
12,N1 Sgr,Ross 154,2.968,
13,N1 And,Ross 248,3.165,
14,N1 Eri,,3.226,SB in YPC
15,N1 PsA,Lacaille 9352,3.293,
16,N1 Vir,Ross 128,3.348,
17,N1 Aqr,,3.454,SB3 in Del99b
18,N1 Aqr B,,3.454,interferometric companion in Lei86
19,N1 Aqr C,,3.454,spectroscopic companion
20,N1 CMi,Procyon,3.496,
21,N1 CMi B,Procyon B,3.496,
22,N1 Cyg,,3.496,
23,N1 Cyg B,,3.496,
24,N1 Dra,,3.534,
25,N1 Dra B,,3.534,"CNS91 ""VAR"" refuted by Tok92"
26,N2 And,,3.564,
27,N2 And B,,3.564,
28,N1 Ind,,3.625,
29,N1 Ind B,,3.625,Brown dwarf
30,N1 Ind C,,3.625,Brown dwarf
31,N1 Cnc,,3.626,
32,N2 Cet,,3.644,
33,N1 Hor,,3.676,
34,N3 Cet,,3.72,not combined with NS 0104-1807 because of mismatch
35,N2 CMi,Luyten's Star,3.791,
36,N1 Ari,Teegarden's Star,3.837,
37,N1 Pav,2MASS J18450541-6357475,3.854,
38,N1 Pav B,2MASS J18450541-6357475 B,3.854,Brown dwarf
39,N1 Pic,Kapteyn's Star,3.917,
40,N1 Mic,Lacaille 8760,3.946,
41,N1 Cep,,4.031,C component in YPC?; additional components in Y
42,N1 Cep B,,4.031,
43,N1 Ant,2MASS J10481463-3956062,4.037,Brown dwarf
44,N1 Mon,,4.093,
45,N1 Mon B,,4.093,
46,N2 Oph,Wolf 1061,4.237,"CNS91 ""SB"" not confirmed/refuted"
47,N1 Psc,van Maanen's Star,4.313,
48,N1 Scl,,4.363,
49,N2 Vir,Wolf 424,4.388,
50,N2 Vir B,,4.388,
51,N2 Ari,,4.448,
52,N2 Dra,,4.535,"speckle companion? in YPC; CNS91 ""SB?"" not confirmed/refuted"
53,N1 Sex,,4.539,
54,N1 Ara,,4.54,
55,N2 Cyg,,4.541,astrometric perturbation in Har84
56,N2 Cyg B,,4.541,
57,N2 Cyg C,,4.541,interferometric companion in McC88
58,N1 Mus,,4.617,
59,N4 Cet,,4.695,
60,N2 Aqr,,4.704,
61,N1 Car,,4.786,
62,N2 UMa,,4.854,
63,N2 UMa B,,4.854,
64,N3 UMa,Groombridge 1618,4.859,
65,N2 Leo,Gam Leo C,4.888,astrometric companion? in CNS69 unlikely
66,N1 Gru,,4.931,
67,N1 Her,,4.934,Hipparcos has large parallax error
68,N1 For,LP 944-20,4.965,Brown Dwarf
69,N2 Eri,2MASS J02550357-4700509,4.966,Brown Dwarf
70,N1 Sco,,5.009,
71,N3 Eri,Keid,5.025,
72,N3 Eri B,,5.025,
73,N3 Eri C,,5.025,
74,N1 Lac,,5.049,
75,N3 Oph,,5.103,"CNS91 ""SB"" is the AB orbit"
76,N3 Oph B,,5.103,"CNS91 ""SB"" is the AB orbit"
77,N1 Aql,Altair,5.129,
78,N2 Cnc,,5.23,
79,N2 Cnc B,,5.23,
80,N1 Ori,,5.238,
81,N4 Eri,,5.321,
82,N1 Cam,,5.381,
83,N1 Boo,Wolf 498,5.429,
84,N1 Cap,,5.49,
85,N2 Cam,,5.536,
86,N2 Cam B,,5.536,
87,N1 Gem,Wolf 294,5.569,
88,N1 Lyr,2MASS J18353790+3259545,5.666,Reid et al. 2003
89,N2 Ori,Wolf 1453,5.709,
90,N5 Eri,2MASS J04151954-0935066,5.736,Vrba et al. 2004
91,N3 Dra,Alsafi,5.761,
92,N1 Lep,,5.775,
93,N1 Lep B,,5.775,
94,N2 Pav,,5.824,
95,N2 Aql,,5.848,
96,N2 Aql B,,5.848,
97,N3 Ori,,5.87,
98,N1 Lib,,5.888,
99,N1 Lib B,,5.888,SB1 in Mar89
100,N1 Lib C,,5.888,spectroscopic companion
101,N1 Lib D,,5.888,Brown Dwarf. Gl 570D not in CNS91
102,N1 Tel,,5.916,
103,N2 Psc,,5.934,
104,N1 Cas,Achird,5.939,
105,N1 Cas B,,5.939,SIMBAD GJ 34C incorrect
106,N1 Lup,,5.94,
107,N5 Cet,,5.954,
108,N5 Cet B,,5.954,
109,N3 CMi,,5.969,
110,N4 Oph,,5.97,
111,N4 Oph B,,5.97,
112,N4 Oph C,,5.97,"SB? in CNS91; CNS91 ""VAR"" not confirmed/refuted"
113,N2 Sgr,,6.049,
114,N2 Sgr B,,6.049,
115,N6 Eri,,6.06,
116,N4 Dra,,6.07,
117,N3 Pav,,6.11,
118,N1 Aur,,6.14,SB2 in Joy47
119,N1 Aur B,,6.14,spectroscopic companion
120,N2 Lib,,6.14,
121,N3 Leo,2MASS J09373487+2931409,6.14,Vrba et al. 2004
122,N4 UMa,,6.17,SB in CNS91 disproven; additional components
123,N4 UMa B,,6.17,SB in CNS91 disproven
124,N2 Tel,,6.2,
125,N3 Lib,,6.28,
126,N1 Peg,,6.34,SB1 in Del99b
127,N1 Peg B,,6.34,SB1 in Del99b
128,N1 Peg C,,6.34,Gl 896C not in CNS91; spectroscopic companion
129,N1 Peg D,,6.34,Gl 896D not in CNS91; spectroscopic companion
130,N3 Cnc,,6.37,
131,N2 Cen,,6.38,
132,N2 Her,,6.4,
133,N2 Her B,,6.4,
134,N1 Hya,,6.4,
135,N3 Her,,6.41,
136,N3 Cen,,6.44,large HIP parallax and error; corrupted by HIP 54293
137,N4 Ori,,6.45,
138,N5 Oph,Wolf 630,6.45,
139,N5 Oph B,,6.45,
140,N5 Oph C,,6.45,Gl 644D not in CNS91
141,N5 Oph D,Wolf 629,6.45,"CNS91 ""SB"" refuted in Maz01"
142,N5 Oph E,,6.45,
143,N2 Cas,Bradley 3077,6.52,astrometric companion? in YPC
144,N2 Car,,6.53,
145,N3 Vir,,6.54,
146,N5 Dra,,6.59,
