"id","name",distance,"notes"
"N1 Cen C","Proxima Centauri",1.301,"Gl 559 AB same system; parallaxes NOT combined"
"N1 Cen","Rigil Kentaurus",1.338,"Gl 551 same system; parallaxes NOT combined"
"N1 Cen B","Rigil Kentaurus B",1.338,"Gl 551 same system; parallaxes NOT combined"
"N1 Oph","Barnard's Star",1.828,""
"N1 Leo","Wolf 359",2.386,""
"N1 UMa","Lalande 21185",2.542,""
"N1 CMa","Sirius",2.631,""
"N1 CMa B","Sirius B",2.631,""
"N1 Cet","Luyten 726-8 A",2.676,""
"N1 Cet B","Luyten 726-8 B",2.676,""
"N1 Sgr","Ross 154",2.968,""
"N1 And","Ross 248",3.165,""
"N1 PsA","Lacaille 9352",3.293,""
"N1 Vir","Ross 128",3.348,""
"N1 CMi","Procyon",3.496,""
"N1 CMi B","Procyon B",3.496,""
"N2 CMi","Luyten's Star",3.791,""
"N1 Ari","Teegarden's Star",3.837,""
"N1 Pav","2MASS J18450541-6357475",3.854,""
"N1 Pav B","2MASS J18450541-6357475 B",3.854,"Brown dwarf"
"N1 Pic","Kapteyn's Star",3.917,""
"N1 Mic","Lacaille 8760",3.946,""
"N1 Ant","2MASS J10481463-3956062",4.037,"Brown dwarf"
"N2 Oph","Wolf 1061",4.237,"\"CNS91 \"\"SB\"\" not confirmed/refuted\""
"N1 Psc","van Maanen's Star",4.313,""
"N2 Vir","Wolf 424",4.388,""
"N3 UMa","Groombridge 1618",4.859,""
"N2 Leo","Gam Leo C",4.888,"astrometric companion? in CNS69 unlikely"
"N1 For","LP 944-20",4.965,"Brown Dwarf"
"N2 Eri","2MASS J02550357-4700509",4.966,"Brown Dwarf"
"N3 Eri","Keid",5.025,""
"N1 Aql","Altair",5.129,""
"N1 Boo","Wolf 498",5.429,""
"N1 Gem","Wolf 294",5.569,""
"N1 Lyr","2MASS J18353790+3259545",5.666,"Reid et al. 2003"
"N2 Ori","Wolf 1453",5.709,""
"N5 Eri","2MASS J04151954-0935066",5.736,"Vrba et al. 2004"
"N3 Dra","Alsafi",5.761,""
"N1 Cas","Achird",5.939,""
"N3 Leo","2MASS J09373487+2931409",6.140,"Vrba et al. 2004"
"N5 Oph","Wolf 630",6.450,""
"N5 Oph D","Wolf 629",6.450,"\"CNS91 \"\"SB\"\" refuted in Maz01\""
"N2 Cas","Bradley 3077",6.520,"astrometric companion? in YPC"
"N4 Leo","Ross 104",6.660,""
"N2 Peg","Ross 775",6.750,"SB1 in Del99b"
"N5 Cnc","Ross 619",6.840,""
"N3 Peg","Ross 671",6.860,"\"CNS91 \"\"SB\"\" refuted in Mar89 and Tok92\""
"N2 Sex","Ross 446",7.270,""
"N4 Psc","Wolf 25",7.440,""
"N4 Vir","Ross 490",7.540,""
"N2 PsA","Fomalhaut",7.660,"same system as Gl 879"
"N6 Oph","Wolf 718",7.720,""
"N2 Lyr","Vega",7.750,""
"N6 Ori","Tabit",8.060,""
"N4 Cas","Ross 318",8.170,"possible cpm with YPC 86.00"
"N3 Lyr","17 Lyr C",8.180,"not part of the 17 Lyr system in Gic67"
"N6 Vir","Wolf 437",8.210,""
"N7 Vir","Wolf 489",8.240,""
"N6 UMa","Alula Australis",8.370,"SB in CNS91"
"N3 Gem","Ross 64",8.380,""
"N1 CVn","Chara",8.390,"SB 2429.9 days in YPC"
"N7 Aqr","Wolf 1329",8.750,""
"N1 Sge","Ross 730",8.760,""
"N1 Sge B","Ross 731",8.760,""
"N1 Crv","Ross 695",8.890,""
"N11 Eri","Rana",9.020,""
"N2 CVn","Ross 1015",9.050,""
"N9 UMa","Groombridge 1830",9.110,"A but no B in CNS91; CNS91 companion not confirmed/refuted"
"N1 Tau","Ross 33",9.190,""
"N3 Cyg","Wolf 1069",9.300,""
"N8 Ori","Ross 41",9.740,""
"N4 Gem","Wolf 287",9.840,""
"N3 Boo","2MASS J15010818+2250020",9.920,"complete name TVLM 513-46546"
"N9 Oph","Wolf 751",9.930,"\"A but no B in CNS91; speckle companion? in YPC; CNS69 companion not in CNS91: \"\"optical\"\"\""
"N6 Cas","Wolf 46",10.030,"\"SB? in CNS91; CNS91 \"\"SB?\"\" refuted in Tok92\""
"N3 Aql","Wolf 1062",10.080,"astrometric perturbation in Har77"
"N6 Leo","Ross 905",10.180,""
"N12 Cet","2MASS J01231802-1256233",10.220,""
"N12 Her","Ross 860",10.250,"\"CNS91 \"\"VAR\"\" refuted in Mar89\""
"N9 Aqr","Wolf 1340",10.270,""
"N5 Gem","Pollux",10.330,""
"N5 Boo","Ross 52",10.350,""
"N11 Vir","Ross 119",10.410,""
"N13 Cet","Wolf 124",10.410,""
"N10 Oph","Wolf 635",10.650,""
"N10 Oph B","Wolf 636",10.650,"same as YPC 3880.00"
"N2 Vul","Ross 165",10.750,"HIPnumber;noparallax"
"N13 Vir","Zavijah",10.890,"SB? in CNS91;"
"N14 Vir","Ross 848",10.980,""
"N8 Cas","Wolf 44",11.000,""
"N7 Leo","Denebola",11.110,"addtional components in YPC; LHS79 companion not in CNS91; not confirmed/refuted"
"N5 Lib","Wolf 1478",11.170,""
"N18 UMa","Ross 1003",11.240,""
"N7 Boo","Arcturus",11.260,"companion in HIP not real?"
"N4 Lyr","Ross 145",11.300,""
"N8 Boo","Ross 837",11.310,""
"N8 Leo","Ross 85",11.360,""
"N9 Boo","Muphrid",11.360,"SB 494.17 days in YPC; additional components in"
"N7 Peg","Ross 271",11.560,""
"N10 Cas","Ross 10",11.600,"HIP number; no parallax"
"N6 Ser","Ross 508",11.750,""
"N17 Vir","Porrima",11.830,""
"N4 Cap","Deneb Algedi",11.840,"SB 1.02 days in YPC; additional components in Y; eclipsing binary primary"
"N5 Per","Ross 28",11.920,""
"N13 Aqr","Wolf 940",11.980,""
"N18 Her","Wolf 654",12.030,""
"N14 Aqr","Wolf 918",12.190,""
"N12 Ori","Wolf 1539",12.220,""
"N13 Ori","Ross 46",12.410,""
"N6 And","Wolf 1056",12.480,""
"N11 Leo","Ross 92",12.660,""
"N6 Aur","Capella",12.940,""
"N14 Boo","Wolf 497",12.970,"\" CNS69 companion not in CNS91: \"\"optical\"\"\""
"N15 Ori","Wolf 1449",13.010,""
"N15 Cas","Ross 302",13.230,""
"N6 Lib","Ross 802",13.350,""
"N12 Leo","Ross 627",13.440,""
"N19 Vir","Wolf 417",13.460,"not combined with NS 1231+0848 because of mismatch"
"N27 UMa","Tet UMa",13.500,""
"N3 Vul","Wolf 1373",13.590,""
"N20 Vir","Wolf 414",13.640,"not combined with NS 1228+0825 because of mismatch"
"N4 Com","Ross 1020",13.680,""
"N6 Per","Ross 587",13.680,""
"N10 Aql","Alshain",13.700,""
"N14 Psc","Wolf 1039",13.770,""
"N6 Cep","Errai",13.810,""
"N8 Cyg","Wolf 1108",13.870,""
"N18 Aqr","Wolf 906",13.920,""
"N22 Her","Ross 863",14.100,""
"N14 Leo","Ross 93",14.170,""
"N7 For","Fornacis",14.200,""
"N8 Ser","Ross 513",14.220,""
"N18 Cet","LP 709-43",14.250,""
"N4 Tuc B","TYC 9124-888-1",14.270,"P assumed third component of NS 2238-6522; assumed true companion; mismatched parallax has"
"N11 Tau","Wolf 227",14.290,""
"N25 Vir","Ross 1047",14.310,""
"N20 Boo","Ross 130",14.330,""
"N18 Oph","Rasalhague",14.370,"\"SB in CNS91; additional astrometric companion?; CNS91 \"\"SB\"\" not confirmed/refuted\""
"N9 Aur","Ross 987",14.450,""
"N7 Per","Wolf 1323",14.480,""
"N19 Oph","Ross 136",14.510,""
"N13 Tau","Wolf 1278",14.550,""
"N22 Boo","Asellus Primus",14.570,"C in CNS69 not in CNS91; additional components; CNS69 component C not in CNS91; not confirmed/re"
"N4 Vul","Wolf 1346",14.580,"\"CNS91 \"\"VAR\"\" not confirmed/refuted\""
"N7 Gem","Wolf 1421",14.600,"SB2 in Mar87"
"N33 UMa","Talitha",14.630,"CNS91 mentions similar motion to NS 0900+4146"
"N8 Mon","Ross 417",14.660,""
"N13 Cam","Ross 370",14.760,""
"N3 Crv","Alchiba",14.770,""
"N6 CMi","Ross 880",14.780,""
"N27 Vir","Wolf 433",14.810,""
"N9 Cyg","Ross 188",14.900,""
"N9 Cep","Alderamin",14.960,""
"N13 And","Ross 5",14.970,"\"CNS91 \"\"VAR\"\" refuted in Mar89\""
