value,description
1800,<a href="/wiki/Alessandro_Volta" title="Alessandro Volta">Alessandro Volta</a>: discovers <a href="/wiki/Electrochemical_series" title="Electrochemical series" class="mw-redirect">electrochemical series</a> and invents the <a href="/wiki/Battery_(electricity)" title="Battery (electricity)">battery</a>,
1802,<a href="/wiki/Jean-Baptiste_Lamarck" title="Jean-Baptiste Lamarck">Jean-Baptiste Lamarck</a>: teleological evolution,
1805,<a href="/wiki/John_Dalton_(scientist)" title="John Dalton (scientist)" class="mw-redirect">John Dalton</a>: <a href="/wiki/Atomic_Theory" title="Atomic Theory" class="mw-redirect">Atomic Theory</a> in (<a href="/wiki/Chemistry" title="Chemistry">Chemistry</a>),
1824,<a href="/wiki/Nicolas_L%C3%A9onard_Sadi_Carnot" title="Nicolas Léonard Sadi Carnot">Carnot</a>: described the <a href="/wiki/Carnot_cycle" title="Carnot cycle">Carnot cycle</a>", the idealized heat engine,
1827,<a href="/wiki/Georg_Ohm" title="Georg Ohm">Georg Ohm</a>: <a href="/wiki/Ohm%27s_law" title="Ohm's law">Ohm's law</a> (<a href="/wiki/Electricity" title="Electricity">Electricity</a>),
1827,<a href="/wiki/Amedeo_Avogadro" title="Amedeo Avogadro">Amedeo Avogadro</a>: <a href="/wiki/Avogadro%27s_law" title="Avogadro's law">Avogadro's law</a> (<a href="/wiki/Gas_law" title="Gas law" class="mw-redirect">Gas law</a>),
1828,<a href="/wiki/Friedrich_W%C3%B6hler" title="Friedrich Wöhler">Friedrich Wöhler</a> synthesized <a href="/wiki/Urea" title="Urea">urea</a>", destroying <a href="/wiki/Vitalism" title="Vitalism">vitalism</a>,
1830,<a href="/wiki/Nikolai_Lobachevsky" title="Nikolai Lobachevsky">Nikolai Lobachevsky</a> created <a href="/wiki/Non-Euclidean_geometry" title="Non-Euclidean geometry">Non-Euclidean geometry</a>,
1831,<a href="/wiki/Michael_Faraday" title="Michael Faraday">Michael Faraday</a> discovers <a href="/wiki/Electromagnetic_induction" title="Electromagnetic induction">electromagnetic induction</a>,
1833,<a href="/wiki/Anselme_Payen" title="Anselme Payen">Anselme Payen</a> isolates first enzyme", <a href="/wiki/Diastase" title="Diastase">diastase</a>,
1838,<a href="/wiki/Matthias_Schleiden" title="Matthias Schleiden" class="mw-redirect">Matthias Schleiden</a>: all plants are made of <a href="/wiki/Cell_(biology)" title="Cell (biology)">cells</a>,
1838,<a href="/wiki/Friedrich_Bessel" title="Friedrich Bessel">Friedrich Bessel</a>: first successful measure of <a href="/wiki/Stellar_parallax" title="Stellar parallax">stellar parallax</a> (to star <a href="/wiki/61_Cygni" title="61 Cygni">61 Cygni</a>),
1842,<a href="/wiki/Christian_Doppler" title="Christian Doppler">Christian Doppler</a>: <a href="/wiki/Doppler_effect" title="Doppler effect">Doppler effect</a>,
1843,<a href="/wiki/James_Prescott_Joule" title="James Prescott Joule">James Prescott Joule</a>: Law of <a href="/wiki/Conservation_of_energy" title="Conservation of energy">Conservation of energy</a> (<a href="/wiki/First_law_of_thermodynamics" title="First law of thermodynamics">First law of thermodynamics</a>)", also 1847 – <a href="/wiki/Helmholtz" title="Helmholtz" class="mw-redirect">Helmholtz</a>", Conservation of energy
1846,<a href="/wiki/William_T.G._Morton" title="William T.G. Morton" class="mw-redirect">William Morton</a>: discovery of <a href="/wiki/Anesthesia" title="Anesthesia">anesthesia</a>,
1846,<a href="/wiki/Johann_Gottfried_Galle" title="Johann Gottfried Galle">Johann Gottfried Galle</a> and <a href="/wiki/Heinrich_Louis_d%27Arrest" title="Heinrich Louis d'Arrest">Heinrich Louis d'Arrest</a>: discovery of <a href="/wiki/Neptune" title="Neptune">Neptune</a>,
1848,<a href="/wiki/Lord_Kelvin" title="Lord Kelvin" class="mw-redirect">Lord Kelvin</a>: <a href="/wiki/Absolute_zero" title="Absolute zero">absolute zero</a>,
